Table name,Column name,Full Field Name English,Description English,Data type,Character max length
MDOTW_VW_AIRCRAFT_PUBLIC,KitManualBuilderID_DisplayFre,Kit manual builder  (French),"For amateur-built aircraft, the entity that built the aircraft, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,KitManualModelID_DisplayFre,Kit manual model  (French),"The kit manual model for aircraft that is identified as amateur-built, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,LandingGearID_DisplayFre,Landing gear  (French),"The type of landing gear on the aircraft, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LatEnum_DisplayFre,Latitude (French),"The latitude hemisphere (N/S), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LightCondID_DisplayFre,Light conditions  (French),"A description of the light conditions, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LongEnum_DisplayFre,Longitude (French),"The longitude hemisphere relative to the prime meridian (E/O), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ManeuverToFinalID_DisplayFre,Manœuvre to final (French),"A description of the manœuvre to final, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccClassID_DisplayFre,Occurrence classification  (French),"The classification of the occurrence in accordance with the TSB Policy on Occurrence Classification, in French. Note: The policy changed on 01 May 2018, and occurrences are classified in accordance with their contemporary policy.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccIncidentTypeID_DisplayFre,Occurrence incident type  (French),"If the occurrence is a reportable incident, the type of incident as defined in the Transportation Safety Board Regulations, Part 1, Subparagraph 2(1)(b), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,Location,Location,The location of the occurrence,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccTypeID_DisplayFre,Occurrence type  (French),"A description of the occurrence type (accident/inc. décl. obligatoire), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OceanID_DisplayFre,Ocean  (French),"The name of the ocean if the occurrence is over an ocean, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccID,Occurrence identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,OperationTypeID_DisplayFre,Operation type  (French),"The type of operation performed at the time of the occurrence, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,OperatorTypeID_DisplayFre,Operator type  (French),"The type of operator (privé, commercial, d’État) involved in the occurrence, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,OrganizationID_DisplayFre,Organization  (French),"The name of the organization (if the operator is an organization), in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,OtherAircraftSightedEnum_DisplayFre,Other aircraft sighted (French),"Indicates whether the other aircraft was sighted by the specific aircraft involved (Oui/Non/Mauvais aéronef), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,PadID_DisplayFre,Pad  (French),"The location of the helipad on the aerodrome (for helicopter takeoff or landing from land or aerodrome), in French.",varchar,255
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,PhaseID_DisplayFre,Phase  (French),"The phase of the flight, in French.
Note: Multiple phases can be assigned to each occurrence (OccID) or specific aircraft (AcID) and each will have an associated EventID.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,PopOutFloatsEnum_DisplayFre,Pop out floats (French),"Indicates whether the aircraft is equipped with pop out floats (Oui/Non/Inconnu), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,PositionTypeEnum_DisplayFre,Position type (French),"The encoding system format used for filling the latitude and longitude fields for the occurrence location, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,PropellerMakeID_DisplayFre,Propeller make  (French),"The make of the malfunctioning propeller, in French.
Note: Each malfunctioning propeller will result in a separate entry.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,PropellerModelID_DisplayFre,Propeller model  (French),"The model of the malfunctioning propeller, in French.
Propeller grid - Multiple propeller entries per occurrence (OccID) and/or specific aircraft (AcID) possible. Each malfunctioning propeller will result in a separate entry.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,PropellerTypeID_DisplayFre,Propeller type  (French),"The type of the malfunctioning propeller, in French.
Propeller grid - Multiple propeller entries per occurrence (OccID) and/or specific aircraft (AcID) possible. Each malfunctioning propeller will result in a separate entry.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ProvinceID_DisplayFre,Province  (French),"The province (Canada) or state (United States) of the occurrence, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,RegCountryID_DisplayFre,Registration country  (French),"The country of registration of the occurrence aircraft, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ReportedByID_DisplayFre,Reported by  (French),"The name of the organization or entity that reported the occurrence, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,ReqSepHorizontalEnum_DisplayFre,Required separation horizontal (French),"The unit of measure for the required horizontal separation of the aircraft, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ResaSurfaceTypeID_DisplayFre,RESA surface type  (French),"The type of surface of the runway end safety area (RESA) for takeoff and landing from land or aerodrome, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RespRegionID_DisplayFre,Responsible region  (French),"The regional office responsible for investigating the occurrence (may not be the same as the region of occurrence), in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,RotorLocationID_DisplayFre,Rotor location  (English),"The location of the rotor, in French.
Note 1: Each malfunctioning rotor will result in a separate entry. Note 2: The rotor location definition is dependent on rotor system. If the rotor system is ""mono"", the field is empty.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,RotorMakeID_DisplayFre,Rotor make  (French),"The make of the malfunctioning rotor, in French.
Rotor grid - Multiple rotor entries per occurrence (OccID) and/or specific aircraft (AcID) possible. Each malfunctioning rotor will result in a separate entry.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,RotorModelID_DisplayFre,Rotor model  (French),"The model of the malfunctioning rotor, in French.
Note: Each malfunctioning rotor will result in a separate entry.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,RotorSystemID_DisplayFre,Rotor system  (French),"The type of rotor system on the occurrence aircraft (mono/tandem/bi/coaxial/autre), in French.
Note: Each malfunctioning rotor will result in a separate entry.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RunwayID_DisplayFre,Runway  (French),"The designation of the runway for land takeoff or landing from aerodrome, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RunwaySlopeID_DisplayFre,Runway slope  (French),"The slope of the runway involved in the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RunwaySurfaceID_DisplayFre,Runway surface  (French),"The texture of the surface of the runway involved in the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RunwaySurfaceTypeID_DisplayFre,Runway surface type  (French),"The type of surface of the runway involved in the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RVRUnlimitedIND_DisplayFre,RVR unlimited indicator (French),"Indicates whether the runway visual range (RVR) is unlimited, in French. Indicator: Oui/Non",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SafetyCommIssuedEnum_DisplayFre,Safety communication issued (French),"Indicates whether a TSB safety communication was issued, in French. Indicator: Oui/Non. NOTE: this field has not been updated for accuracy.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SeriousIncidentEnum_DisplayFre,Serious incident (French),"Indicates whether the occurrence was a serious incident as defined by ICAO in Annex 13, in French. Indicator: Oui/Non. ",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SkyCondID_DisplayFre,Sky conditions  (French),"The sky conditions at the time of the occurrence, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,StateOperatorID_DisplayFre,State operator  (French),"The type of state operator, if relevant, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SurfaceContaminationID_DisplayFre,Surface contamination  (French),"The type of surface contamination, if relevant, in French.
Note: Each description will result in a separate entry.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,SurvEquiID_DisplayFre,Survival equipment  (French),"The survival equipment available on the occurrence aircraft, if relevant, in French.
Equipment grid - Multiple survival equipments can be assigned to an occurrence (OccID). Each equipment will result in a separate entry.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,SurvivableEnum_DisplayFre,Survivable enumerated display (French),"Indicates whether the occurrence was survivable (for occurrences involving an impact), in French. Indicator: Oui/Non/Inconnue.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SwCrosswindEnum_DisplayFre,Surface wind crosswind (French),"Indicates whether the crosswind component of the surface wind blowed from the left or the right at the time of the occurrence, in French. Indicator: Gauche/Droite.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SwDirectionEnum_DisplayFre,Surface wind direction (French),"Indicates whether the heading for the surface wind direction at the time of the occurrence is magnetic or true, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SwVariableDirIND_DisplayFre,Surface wind variable direction indicator (French),"Indicates whether the direction of the surface wind was variable at the time of the occurrence, in French. Indicator: Oui/Non.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,SystemEffectiveEnum_DisplayFre,System effective (French),"Indicates whether the fire suppression system was effective, in French. Indicator: Oui/Partiel/Non/Inconnue
Fire suppression system grid - Multiple fire suppression systems can be assigned to each occurrence (OccID) and/or specific aircraft (AcID). Each system will result in a separate entry in the database.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TakeOffLandingTypeID_DisplayFre,Takeoff landing type  (French),"The type of takeoff and landing area associated with the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TaxiwayID_DisplayFre,Taxiway  (French),"The designation of the taxiway involved in the occurrence, if relevant, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TemperatureEnum_DisplayFre,Temperature (French),"The unit of measure for the temperature, in French. Indicator: C=Celsius, F=Fahrenheit.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TimeZoneID_DisplayFre,Time zone  (French),"The time zone used for reporting the time of occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ToLdgRelToSwellID_DisplayFre,Takeoff landing relative to swell  (French),"The orientation of takeoff or landing relative to swell, if relevant, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TouchdownCentrelineEnum_DisplayFre,Touchdown centreline (French),"The position of the aircraft touchdown location relative to the centreline, if relevant, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TouchdownThresholdEnum_DisplayFre,Touchdown threshold (French),"The position of the aircraft touchdown location relative to the runway threshold, if relevant, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,TrafficAdvisoryTypeID_DisplayFre,Traffic advisory type  (French),"The type of traffic advisory issued at the time of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,TsbInvolveID_DisplayFre,TSB involved  (French),"The level of involvement of the TSB in domestic and foreign occurrences, in French.",varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,UlbID_DisplayFre,Underwater locator beacon  (French),"Indicates whether the underwater locator beacon was installed, operated, and/or relevant to the occurrence, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,WakeTurbulenceCategoryID_DisplayFre,Wake turbulence category  (French),"The wake turbulence category of the occurrence aircraft, as defined by the Canadian Aviation Regulations, Standard 821 -Canadian Domestic Air Traffic Control Separation, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,WaterSurfaceConditionID_DisplayFre,Water surface condition  (French),"The condition of the water surface, if relevant, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,WaveHeightID_DisplayFre,Wave height  (French),"The height of the waves, if relevant, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,WeatherPhenomenaDescID_DisplayFre,Weather phenomena description  (French),"A description of the weather phenomena at the time of the occurrence, in French.
Weather phenomena grid - Multiple weather phenomenas can be specified for each occurrence (OccID), each type and its associated description will appear as a separate entry.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,WeatherPhenomenaIntensityID_DisplayFre,Weather phenomena intensity  (French),"The intensity of the weather phenomena at the time of the occurrence, in French.
Weather phenomena grid - Multiple weather phenomenas can be specified for each occurrence (OccID), each type and its associated description will appear as a separate entry.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,WeatherPhenomenaTypeID_DisplayFre,Weather phenomena type  (French),"The type of weather phenomena at the time of the occurrence, in French.
Weather phenomena grid - Multiple weather phenomenas can be specified for each occurrence (OccID), each type and its associated description will appear as a separate entry.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,WeightCategoryID_DisplayFre,Weight category  (French),"The weight category of the occurrence aircraft, based on certificated maximum takeoff weight, in French.",varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,WeightWithinLimitsEnum_DisplayFre,Weight within limits (French),"Indicates whether the actual aircraft weight was within limits at the time of the occurrence, in French. Indicator: Oui/Non/Inconnue",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,Distance,Distance,The distance between the referenced location and the occurrence location.,numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,DistanceEnum,Distance enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,Elevation,Elevation,"The aerodrome elevation, in feet.",numeric,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,ELTInstalledEnum,ELT installed enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,ELTSignalReceivedEnum,ELT signal received enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,ELTStatusID,ELT status identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,EngineMakeID,Engine make identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,EngineModelID,Engine model identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,EnginePosition,Engine position,The numeric position of the engine on the aircraft.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,EngineTypeID,Engine type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,EquipEffectiveEnum,Equipment effective enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,EquipEffReasonID,Equipment effectiveness reason identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,EquipInfluenceEnum,Equipment influence enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,EvacEgressIssueEnum,Evacuation egress issues enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,EvacHamperedID,Evacuation hampered identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,EvasiveActionByATSEnum,Evasive action by ATS enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,EvasiveActionByPilotEnum,Evasive action by pilot enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,EventID,Event identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,EventPhaseSequence,Event phase sequence,"The ordinal value of the specific event in the sequence of events for the associated occurrence. Each event and phase combination will appear as a separate entry.
Note: Events are in the correct ordinal value, but may not be serial. A gap in the sequence number does not indicate a missing event in the database.",int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ExtinguishingAgentID,Extinguishing agent identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_INJURIES_PUBLIC,FatalCount,Fatal count,The number of fatalities for the associated occurrence/occurrence aircraft.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TotalFatalCount,Total fatalities count,The total number of fatalities (includes any ground fatalities).,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,FinalCentreline,Final centreline,"The distance between the final aircraft location and the runway centreline, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,FinalCentrelineEnum,Final centreline enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,FinalPositionEnum,Final position enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,FinalPositionID,Final position identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,FinalThreshold,Final threshold,"For land takeoff for landing, the distance between the final aircraft location and the runway threshold, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,FinalThresholdEnum,Final threshold enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,FireIgnitionSourceID,Fire ignition source identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,FireSuppressionTypeID,Fire suppression type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,FireWarningAvailableEnum,Fire warning available enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,FireWarningEnum,Fire warning enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,IIC_FirstName,IIC first name,The first name of the investigator in charge (IIC).,varchar,255
MDOTW_VW_SURVIVABILITY_PUBLIC,FlightFollowingSystemID,Flight following system identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccNo,Occurrence number,The unique occurrence number for general reference.,varchar,8
MDOTW_VW_AIRCRAFT_PUBLIC,FlightNo,Flight number,The flight number.,varchar,255
MDOTW_VW_AIRCRAFT_PUBLIC,FlightPhaseID,Flight phase identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,FlightPlanTypeID,Flight plan type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,FullEventDescEng,Full event description (English),"An algorithm-generated text string describing the full event, in English.",varchar,-1
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,FullEventDescFre,Full event description (French),"An algorithm-generated text string describing the full event, in French.",varchar,-1
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,FullPhaseDescEng,Full phase description (English),"An algorithm-generated text string describing the phase in detail, in English.",varchar,-1
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,FullPhaseDescFre,Full phase description (French),"An algorithm-generated text string describing the phase in detail, in French.",varchar,-1
MDOTW_VW_OCCURRENCE_PUBLIC,FullProcedureIND,Full procedure indicator,Indicates whether a full instrument approach procedure was used (if published).,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,GeneralWeatherID,General weather identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,GroundWarningSystemID,Ground warning system identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,HelicopterTakeOffLandingSiteID,Helicopter takeoff/landing site identification number,Table Index Value for Helicopter Take Off/Landing Site Surface Description,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,BearingID_Highest,Bearing identification number highest,The upper degree limit for a bearing of a given bearing compass direction.,numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ICAO,ICAO,The International Civil Aviation Organization (ICAO) 4-letter airport code.,char,4
MDOTW_VW_OCCURRENCE_PUBLIC,ICAOCategoryID,ICAO category identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,IdentityUnknownIND,Identity unknown indicator,Indicates whether the identity of the aircraft is unknown (1 = yes).,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,IIC_IndividualID,IIC individual identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,InflightIcingCondEnum,In-flight icing conditions enumerated,A system-generated number for the purposes of database administration.,int,NULL
