Table name,Column name,Full Field Name English,Description English,Data type,Character max length
MDOTW_VW_AIRCRAFT_PUBLIC,InitialLocationID,Initial location identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,InitialPositionEnum,Initial position enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,InitialPositionID,Initial position identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,InitTSBNotifDate,Initial TSB notification date,The contact information for the agency that initially reported the occurrence.,datetime2,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,InjuriesEnum,Injuries enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_INJURIES_PUBLIC,InjuryCategoryID,Injury category identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,KitManualBuilderID,Kit manual builder identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,KitManualModelID,Kit manual model identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,LandingGearID,Landing  gear identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,IIC_LastName,IIC last name,The last name of the investigator in charge (IIC).,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,IIC_FullName,IIC full name,The full name of the investigator in charge (IIC).,,
MDOTW_VW_OCCURRENCE_PUBLIC,LatEnum,Latitude enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,Latitude,Latitude,Latitude of the occurrence or airport location,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LightCondID,Light conditions identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,LandingTakeOffLocation,Landing/takeoff location,The International Civil Aviation Organization (ICAO) airport/aerodrome abreviations identifying the geographic location for the occurrence landing/takeoff.,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LocationDescription,Location description,"The location of the occurrence, if not at the airport. Generated text based on reference airport, distance, and bearing compass direction.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,LongEnum,Longitude enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,Longitude,Longitude,Longitude of the occurrence or airport location,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,BearingID_Lowest,Bearing identification number lowest,The lowest degree limit for a bearing of a given bearing compass direction.,numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ManeuverToFinalID,Manœuver to final identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,MaxTakeOffWeight,Maximum takeoff weight,"The maximum takeoff weight of aircraft, in kilograms. Note: The weight may be entered in a different unit of measurement for occurrences prior to 2016.",decimal,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,WakeTurbulenceCategoryID_MaxWeight,Wake turbulence category identification number maximum weight,"The upper limit of the aircraft maximum takeoff weight (in kg) for the selected wake turbulence category, as defined in Canadian Aviation Regulations, Standard 821.",int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,WeightCategoryID_DisplayFre,Weight category  (French),"The maximum weight category (the defined uppermost weight limit in the range for the category, in kg).",int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,BearingID_Middle,Bearing identification number middle,The bearing degree for the middle bearing of a given bearing compass direction.,numeric,NULL
MDOTW_VW_INJURIES_PUBLIC,MinorCount,Minor count,The number of minor injuries for associated occurrence/occurrence aircraft.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TotalMinorCount,Total minor count,The total number of minor injuries (includes any ground injuries).,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,WakeTurbulenceCategoryID_MinWeight,Wake turbulence category identification number minimum weight,"The lower limit of the aircraft maximum takeoff weight for the selected wake turbulence category as defined in Canadian Aviation Regulations, Standard 821.",int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,WeightCategoryID_MaxWeightCat,Weight category identification number maximum weight category,The maximum weight category (the defined uppermost weight limit in the range for the category).,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,AirportDescription,Airport description,The airport description.,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,NoAircraftInvolved,No aircraft involved,"Indicates whether an aircraft was involved. Note: A value of ""0"" indicates that the occurrence did not involve a specific aircraft.",smallint,NULL
MDOTW_VW_INJURIES_PUBLIC,NoneCount,None count,The number of non injuries for the associated occurrence/occurrence aircraft.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TotalNoneCount,Total none count,The total number of people not injured (aircraft occupants only).,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,NumberOfEngine,Number of engines,The number of engines installed on the aircraft.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccClassID,Occurrence classification identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccDate,Occurrence date,The occurrence date. Date format is YYYY-MM-DD.,date,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,OccID,Occurrence identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccRegionID_DisplayEng,Occurrence regional  (English),"The region of the occurrence, as defined by the geographical area each regional office has been assigned, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccRegionID_DisplayFre,Occurrence regional  (French),"The region of the occurrence, as defined by the geographical area each regional office has been assigned, in French.",varchar,255
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,OccID,Occurrence identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_INJURIES_PUBLIC,OccID,Occurrence identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,OccID,Occurrence identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccIncidentTypeID,Occurrence incident type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,OccNo,Occurrence number,The unique occurrence number for general reference.,varchar,8
MDOTW_VW_AIRCRAFT_PUBLIC,OperatorTypeID,Operator type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,OccNo,Occurrence number,The unique occurrence number for general reference.,varchar,8
MDOTW_VW_INJURIES_PUBLIC,OccNo,Occurrence number,The unique occurrence number for general reference.,varchar,8
MDOTW_VW_AIRCRAFT_PUBLIC,OrganizationID,Organization identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,OccNo,Occurrence number,The unique occurrence number for general reference.,varchar,8
MDOTW_VW_OCCURRENCE_PUBLIC,OccRegionID,Occurrence regional identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccTime,Occurrence time,The time the occurrence happened. Time format is hh:mm (24-hour clock).,time,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccTypeID,Occurrence type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OceanID,Ocean identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,OperationTypeID,Operation type  (English),A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OsLengthAvailable,Operating surface length available,"The available length for the aircraft on the operating surface, in feet or in metres.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OsLengthTotal,Operating surface length total,"The total length of the operating surface, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OsLengthUtilized,Operating surface length utilized,"The length of the operating surface that was utilized, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OsWidthAvailable,Operating surface width available,"The available width on the operating surface, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OsWidthTotal,Operating surface width total,"The total width of the operating surface, in feet.",numeric,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,OtherAircraftSightedEnum,Other aircraft sighted enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,PadID,Pad identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_EVENTS_AND_PHASES_PUBLIC,PhaseID,Phase identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,PilotUnknownIND,Pilot unknown indicator,Indicates whether the pilot is unknown.,smallint,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,PopOutFloatsEnum,Pop out floats enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,PositionTypeEnum,Position type enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,PropellerMakeID,Propeller make identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,PropellerModelID,Propeller model identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,PropellerPosition,Propeller position,"A number indicating the position of the malfunctioning propeller on the aircraft, for aircrafts with multiple propellers. Numbering convention: Flight crew facing forward, left to right.
Propeller grid - Multiple propeller entries per occurrence (OccID) and/or specific aircraft (AcID) possible. Each malfunctioning propeller will result in a separate entry.",int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,PropellerTypeID,Propeller type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,Airport_ProvinceID,Airport province identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ProvinceID,Province identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,RegCountryID,Registration country identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,RegistrationNo,Registration number,The registration number of the occurrence aircraft.,varchar,15
MDOTW_VW_AIRCRAFT_PUBLIC,RegistrationNo,Registration number,Aircraft Registration Number of the Specific Aircraft Involved (AcID),varchar,15
MDOTW_VW_OCCURRENCE_PUBLIC,ReportedByID,Reported by identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ReqSepHorizontal,Required separation horizontal,The required horizontal separation of the aircraft.,numeric,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ReqSepHorizontalEnum,Required separation horizontal enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ReqSepTime,Required separation time,"The required separation time of the aircraft, in minutes.",numeric,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,ReqSepVertical,Required separation vertical,"The required vertical separation of the aircraft, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ResaLength,RESA length,"The length of the runway end safety area (RESA) for takeoff and landing from land or aerodrome, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ResaSurfaceTypeID,RESA surface type identification number ,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ResaWidth,RESA width,"The width of the runway end safety area (RESA) for takeoff and landing from land or aerodrome, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RespRegionID,Responsible region identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,RotorLocationID,Rotor location identification number ,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,RotorMakeID,Rotor make identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,RotorModelID,Rotor model identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,RotorSystemID,Rotor system identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,RowStatus,Row status,Identifies in the support table whether the particular aircraft is part of the current list of active aircrafts that can be selected during occurrence input.,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RunwayID,Runway identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RunwaySlopeID,Runway slope identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RunwaySurfaceID,Runway surface identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RunwaySurfaceTypeID,Runway surface type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RVRA,RVR A,"The runway visual range (RVR) adjacent to the runway threshold, in feet.",int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RVRB,RVR B,"The runway visual range (RVR) adjacent to the runway mid-point, in feet.",int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RVRUnlimitedIND,RVR unlimited indicator,"Indicates whether the runway visual range (RVR) is unlimited. Indicator: 0=No, 1=Yes.",smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SafetyCommIssuedEnum,Safety communication issued enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,SameDepartAsOccIND,Same departure as occurrence indicator,Indicates whether the departure location is the same as the occurrence location. Indicator: 1 = true. ,smallint,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,SameDestAsOccIND,Same destination as occurrence indicator,Indicates whether the destination location is the same as the occurrence location. Indicator: 1 = true. ,smallint,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,SerialNo,Serial number,The serial number assigned to the aircraft by the manufacturer.,varchar,15
MDOTW_VW_INJURIES_PUBLIC,SeriousCount,Serious count,The number of serious injuries associated to the occurrence or occurrence aircraft.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TotalSeriousCount,Total serious count,The total number of serious injuries (includes any ground injuries).,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SeriousIncidentEnum,Serious incident enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SkyCondID,Sky conditions identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,StateOperatorID,State operator identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,Summary,Summary,The summary of the occurrence.,varchar,-1
MDOTW_VW_OCCURRENCE_PUBLIC,SurfaceContaminationID,Surface contamination identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,SurvEquiID,Survival equipment identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,SurvivableEnum,Survivable enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SwCrosswind,Surface wind crosswind,"The crosswind component of the surface wind at the time of the occurrence, in knots.",int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SwCrosswindEnum,Surface wind crosswind enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SwDirection,Surface wind direction,The direction of the surface wind (magnetic heading by default) at the time of the occurrence.,varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SwDirectionEnum,Surface wind direction emunerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SwPeakGus,Surface wind peak gust,"The peak surface wind gusts at the time of the occurrence, in knots.",int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SwSpeed,Surface wind speed,"The surface wind at the time of the occurrence, in knots.",int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SwTallWind,Surface wind tail wind,"The tail wind component of the surface wind at the time of the occurrence, in knots.",int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SwVariableDirIND,Surface wind variable direction indicator,"Indicates whether the direction of the surface wind was variable at the time of the occurrence. Indicator: 1=Yes, others=No.",smallint,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,SystemEffectiveEnum,System effective enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TakeOffLandingTypeID,Takeoff landing type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TaxiwayID,Taxiway identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,Temperature,Temperature,"The temperature at the time of the occurrence, in degrees Celsius by default.",decimal,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TemperatureEnum,Temperature enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TimeZoneID,Time zone identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ToLdgRelToSwellID,Takeoff landing relative to swell identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TouchdownCentreline,Touchdown centerline,"The distance between the aircraft touchdown location and the centreline, if relevant, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TouchdownCentrelineEnum,Touchdown centerline enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TouchdownThreshold,Touchdown threshold,"The distance between the aircraft touchdown location and the runway threshold, if relevant, in feet.",numeric,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TouchdownThresholdEnum,Touchdown threshold enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,TrafficAdvisoryTypeID,Traffic advisory type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TsbInvolveID,TSB involved identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_SURVIVABILITY_PUBLIC,UlbID,Underwater locator beacon identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,TotalUnknownCount,Total unknown count,The total number of people whose status is unknown (aircraft occupants only).,int,NULL
MDOTW_VW_INJURIES_PUBLIC,Unknown_MissingCount,Unknown missing count,The number of people who are missing or whose location is unknown for the associated occurrence/occurrence aircraft.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,Visibility,Visibility,"The visibility, in statute miles.",decimal,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,VisibilyCeiling,Visibility ceiling,"The visibility ceiling, in feet.",int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,WakeTurbulenceCategoryID,Wake turbulence category identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,WaterSurfaceConditionID,Water surface condition identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,WaveHeightID,Wave height identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,WeatherPhenomenaDescID,Weather phenomena description identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,WeatherPhenomenaIntensityID,Weather phenomena intensity identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,WeatherPhenomenaTypeID,Weather phenomena type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,WeightCategoryID,Weight category identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,WeightCategoryID_MinWeightCat,Weight category identification number minimum weight category,The minimum weight category (the defined lowest weight limit in the range for the category).,int,NULL
MDOTW_VW_AIRCRAFT_PUBLIC,YearOfManuf,Year of manufacture,The year in which the aircraft was manufactured.,char,4
MDOTW_VW_AIRCRAFT_PUBLIC,WeightWithinLimitsEnum,Weight within limits enumerated,A system-generated number for the purposes of database administration.,int,NULL
